,n_adj,n_adp,n_adv,n_aux,n_cconj,n_det,n_intj,n_noun,n_num,n_part,n_pron,n_propn,n_punct,n_sconj,n_sym,n_verb,n_space,n_uadj,n_uadp,n_uadv,n_uaux,n_ucconj,n_udet,n_uintj,n_unoun,n_unum,n_upart,n_upron,n_upropn,n_upunct,n_usconj,n_usym,n_uverb,n_uspace,a_word_ps,a_bry_ps,corr_ttr
0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,3.0,12.0,1.225
1,10,10,5,15,10,15,1,36,0,4,30,0,30,4,0,24,5,10,7,5,7,2,4,1,33,0,1,12,0,4,3,0,21,2,14.571,57.594,5.545
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
4,2,7,2,3,2,7,0,10,1,4,5,3,10,1,0,9,1,2,5,2,3,1,4,0,7,1,1,4,3,6,1,0,9,1,16.75,65.83,4.406
5,5,11,2,5,3,6,0,7,2,3,8,6,11,1,0,6,1,5,7,2,2,2,5,0,6,2,2,4,3,6,1,0,4,1,19.5,63.388,4.243
6,1,6,1,2,2,3,0,11,1,1,5,1,5,0,0,6,1,1,5,1,1,1,3,0,11,1,1,5,1,3,0,0,6,1,11.5,42.826,4.379
7,3,4,4,4,0,6,0,8,0,0,2,4,9,1,0,3,1,3,2,4,2,0,2,0,8,0,0,2,4,5,1,0,3,1,16.333,52.278,3.839
8,4,4,5,4,1,3,0,7,2,0,2,1,5,1,0,3,1,4,4,4,3,1,2,0,6,2,0,2,1,4,1,0,3,1,14.333,46.334,4.205
9,3,4,0,3,1,4,0,12,0,3,4,2,8,3,2,6,1,3,1,0,3,1,2,0,7,0,1,4,2,4,3,1,4,1,13.75,53.772,3.623
10,5,2,3,1,1,1,0,8,2,3,7,1,5,1,0,4,1,4,2,3,1,1,1,0,4,1,1,4,1,3,1,0,3,1,15.0,55.816,3.268
11,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,3.0,12.0,1.225
12,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,3.0,12.0,1.225
13,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,3.0,12.0,1.225
14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
15,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,3.0,12.0,1.225
16,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,3.0,12.0,1.225
17,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,3.0,12.0,1.225
18,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,3.0,12.0,1.225
19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
20,10,20,13,17,10,21,1,25,2,3,31,16,26,5,0,25,0,9,9,11,4,3,7,1,16,2,2,11,12,4,3,0,22,0,18.75,65.892,5.185
21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
22,3,2,2,2,3,3,0,4,0,1,3,3,5,0,0,3,1,3,2,2,2,3,3,0,4,0,1,3,3,3,0,0,3,1,8.75,32.021,4.064
23,1,2,1,1,0,2,0,2,2,0,0,4,6,0,0,1,1,1,2,1,1,0,2,0,2,2,0,0,4,4,0,0,1,1,11.5,31.405,3.244
24,3,5,3,7,3,8,0,15,3,1,8,3,10,2,0,9,1,3,5,3,3,2,4,0,13,3,1,4,3,3,2,0,8,1,16.0,51.713,4.585
25,6,2,1,7,1,4,0,6,0,3,5,0,6,2,0,6,1,5,2,1,4,1,4,0,4,0,2,4,0,3,2,0,5,1,12.75,58.698,3.763
26,3,2,0,2,2,3,0,6,0,0,1,1,4,0,0,2,1,3,2,0,2,1,2,0,6,0,0,1,1,3,0,0,2,1,13.5,45.766,3.402
27,0,2,1,1,0,0,0,1,0,0,6,0,4,0,0,3,1,0,2,1,1,0,0,0,1,0,0,5,0,2,0,0,3,1,6.667,17.191,2.846
28,2,4,1,4,1,1,0,5,2,2,4,5,4,1,0,3,1,2,3,1,3,1,1,0,4,2,1,3,5,3,1,0,3,1,13.333,41.628,3.913
29,4,3,3,6,0,3,0,7,0,1,3,0,5,1,0,5,1,4,3,3,3,0,2,0,4,0,1,3,0,4,1,0,4,1,14.333,52.996,3.774
30,2,5,2,6,0,5,0,11,0,1,11,0,7,3,0,10,1,2,4,2,5,0,5,0,8,0,1,6,0,4,2,0,10,1,12.8,54.664,4.419
