,n_adj,n_adp,n_adv,n_aux,n_cconj,n_det,n_intj,n_noun,n_num,n_part,n_pron,n_propn,n_punct,n_sconj,n_sym,n_verb,n_space,n_uadj,n_uadp,n_uadv,n_uaux,n_ucconj,n_udet,n_uintj,n_unoun,n_unum,n_upart,n_upron,n_upropn,n_upunct,n_usconj,n_usym,n_uverb,n_uspace,a_word_ps,a_bry_ps,corr_ttr,fkgl,fkre
0,5,7,4,4,7,5,0,8,0,0,7,21,14,0,1,7,8,4,5,4,3,2,3,0,7,0,0,5,16,7,0,1,6,4,19.4,37.38,4.739,10.102,57.191
1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1.0,12.0,2.121,20.2,-47.98
2,5,10,3,9,7,9,0,21,0,2,16,5,7,1,0,15,3,5,4,3,3,3,2,0,19,0,2,8,5,3,1,0,13,1,17.667,66.285,4.739,6.996,76.369
3,31,43,26,32,37,36,0,70,2,30,110,1,33,14,0,97,4,24,19,18,7,3,7,0,49,2,3,14,1,5,7,0,59,1,15.676,59.839,6.371,4.25,92.514
4,2,6,6,8,3,4,0,8,0,3,10,0,8,3,2,12,2,2,4,6,4,3,3,0,8,0,1,5,0,4,3,1,9,1,16.75,68.692,4.492,7.498,71.141
5,7,12,6,8,3,6,2,19,0,3,15,0,20,4,1,14,3,7,9,5,5,2,3,2,18,0,2,7,0,9,4,1,13,1,25.5,105.65,5.951,10.667,64.005
6,3,5,3,6,4,8,2,14,0,4,12,0,10,2,0,8,1,3,4,3,2,2,4,2,14,0,2,7,0,5,2,0,8,1,18.25,74.997,4.8,5.914,85.169
7,16,30,9,26,9,29,1,47,2,5,41,7,34,7,0,34,5,12,9,9,4,2,8,1,32,2,2,10,7,4,2,0,19,2,20.615,77.665,5.097,7.2,80.16
8,3,6,4,3,2,2,0,10,0,1,6,1,7,0,0,5,0,2,5,4,3,2,2,0,9,0,1,4,1,4,0,0,5,0,14.667,59.828,4.371,6.757,72.739
9,7,13,4,8,3,7,0,29,0,4,16,15,16,1,0,18,6,6,5,4,5,2,5,0,23,0,2,6,14,4,1,0,16,2,13.0,47.125,5.768,7.362,65.438
10,6,9,9,16,3,5,0,16,2,7,15,3,7,5,1,16,4,5,6,9,5,3,3,0,11,2,2,5,3,2,3,1,11,3,19.333,73.488,4.793,6.497,82.92
11,2,6,4,4,3,6,0,6,0,2,6,0,5,0,0,4,0,2,5,4,3,2,2,0,5,0,1,4,0,4,0,0,4,0,14.667,64.681,3.838,2.466,103.503
12,4,12,2,4,5,8,0,15,1,3,7,7,9,1,0,14,0,4,7,2,2,3,2,0,13,1,2,6,7,3,1,0,13,0,27.667,105.543,4.967,12.26,56.44
13,5,9,7,9,4,6,1,18,1,2,12,9,14,0,0,8,1,5,7,7,4,2,5,1,15,1,1,6,9,3,0,0,6,1,11.5,45.089,5.234,6.082,71.941
14,13,20,8,20,6,15,0,38,0,11,23,9,29,8,1,23,7,12,10,8,5,2,5,0,33,0,2,5,7,7,4,1,19,1,20.1,78.407,5.786,7.689,75.738
15,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1.0,12.0,2.121,20.2,-47.98
16,6,13,4,10,2,11,1,23,1,3,19,2,12,3,0,18,3,6,6,4,6,2,5,1,19,1,2,10,2,4,2,0,17,2,14.875,61.936,5.38,5.878,79.411
17,5,5,3,8,1,4,0,21,5,5,7,0,9,4,1,8,1,5,4,3,5,1,3,0,15,4,2,4,0,3,3,1,7,1,12.833,53.244,4.674,6.579,70.755
18,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1.0,12.0,2.121,20.2,-47.98
19,7,4,2,7,6,5,0,11,0,6,7,0,7,2,0,12,2,7,4,1,3,3,4,0,11,0,2,3,0,4,2,0,10,1,17.75,72.599,4.364,7.62,72.047
20,7,5,3,9,3,8,1,13,0,2,16,0,7,4,0,14,2,7,4,3,6,3,4,1,13,0,1,7,0,3,3,0,8,1,12.429,45.955,4.624,3.499,92.117
